iter	RMSE
0	0.2007991435
1	0.2000395771
2	0.1991371883
3	0.1981582579
4	0.1972780719
5	0.1962648597
6	0.1955909624
7	0.1948869932
8	0.1942878453
9	0.1936673016
10	0.1929694914
11	0.1923595745
12	0.1917088846
13	0.1910170259
14	0.190563376
15	0.1900906746
16	0.1896541249
17	0.1890461628
18	0.1882775741
19	0.1881894303
20	0.1876088502
21	0.1871138533
22	0.1867296427
23	0.1862972064
24	0.1858690624
25	0.1857964774
26	0.185303225
27	0.1847762907
28	0.1842639492
29	0.1837207666
30	0.1834457142
31	0.1831935864
32	0.1827329047
33	0.1823039758
34	0.181818263
35	0.1817287544
36	0.1814890922
37	0.1812036026
38	0.1807538565
39	0.1803976309
40	0.1802796865
41	0.1799225932
42	0.1795132214
43	0.1793305094
44	0.1791100609
45	0.1788379841
46	0.1786168533
47	0.1783050016
48	0.1780664413
49	0.1777903726
50	0.1775749152
51	0.1773208006
52	0.1771608497
53	0.1768596313
54	0.1765979228
55	0.1763983654
56	0.1761015263
57	0.1757811712
58	0.1755893958
59	0.175300703
60	0.1750353689
61	0.1748835184
62	0.1747057022
63	0.1744235173
64	0.1741305615
65	0.1739470605
66	0.173738508
67	0.1733641895
68	0.1730777451
69	0.1728661715
70	0.1726503752
71	0.1723870504
72	0.1723795453
73	0.172192593
74	0.1719885127
75	0.1717792455
76	0.1716686759
77	0.1715117277
78	0.1712467619
79	0.1710025462
80	0.170971428
81	0.170730872
82	0.1706656699
83	0.1705049802
84	0.1702661659
85	0.1700754736
86	0.1698730021
87	0.1696827262
88	0.1695417645
89	0.1694247491
90	0.1693082395
91	0.1691387366
92	0.1689568814
93	0.1687132876
94	0.1684875635
95	0.1681881829
96	0.1679682081
97	0.1677359702
98	0.1675547056
99	0.1673568622
100	0.1672009678
101	0.1669752607
102	0.1668735429
103	0.1668392203
104	0.1666666744
105	0.1665822408
106	0.1665543039
107	0.1664349001
108	0.1662627278
109	0.1662396231
110	0.1660998666
111	0.1659934363
112	0.1658759417
113	0.1657153081
114	0.1654867932
115	0.1652813741
116	0.1651852695
117	0.1650637225
118	0.1649865735
119	0.1648929586
120	0.1647004993
121	0.1645093153
122	0.1643764763
123	0.1642771634
124	0.1641081983
125	0.1639726039
126	0.1637405426
127	0.1636375574
128	0.1634843591
129	0.1633677462
130	0.1632499463
131	0.1631493997
132	0.1629753475
133	0.1628437215
134	0.1627363518
135	0.1626650744
136	0.1625289068
137	0.1624339584
138	0.1623078567
139	0.1621895769
140	0.1620587823
141	0.1619573657
142	0.1618305753
143	0.1618136303
144	0.1617180601
145	0.1615383649
146	0.1614276097
147	0.1613551166
148	0.1612131978
149	0.1610509949
150	0.160963981
151	0.1608208934
152	0.1607616019
153	0.1606277833
154	0.1605080621
155	0.1603785099
156	0.1602804423
157	0.1602103553
158	0.1601255418
159	0.1599610269
160	0.1598718664
161	0.1597676766
162	0.1596058724
163	0.1594533906
164	0.1593833008
165	0.1592466744
166	0.1591170422
167	0.1590472117
168	0.1588776457
169	0.1587886209
170	0.1586197216
171	0.1585032469
172	0.1583889229
173	0.1583060892
174	0.1581437041
175	0.1580252782
176	0.1579568277
177	0.157815479
178	0.1576665133
179	0.1575944366
180	0.1575156016
181	0.1573928153
182	0.1573253067
183	0.1572713845
184	0.1571835685
185	0.1570128749
186	0.1569627583
187	0.1568860379
188	0.1567954475
189	0.1566870922
190	0.1566100703
191	0.1565226344
192	0.1564198837
193	0.1563551301
194	0.1563023753
195	0.1562119909
196	0.1561531905
197	0.1560870531
198	0.1560403291
199	0.1558489408
200	0.1558010316
201	0.1557363832
202	0.1556539272
203	0.1555110941
204	0.1553247792
205	0.1552354302
206	0.1551585227
207	0.1550879791
208	0.155041138
209	0.1549456343
210	0.1549184906
211	0.1547942785
212	0.1547382924
213	0.1546709933
214	0.1546106411
215	0.1545601147
216	0.1544986185
217	0.1544539942
218	0.154348619
219	0.154292417
220	0.1542609902
221	0.1542133431
222	0.1541327342
223	0.1540101767
224	0.1539114214
225	0.1538251887
226	0.153667622
227	0.1535385084
228	0.1534129412
229	0.1533023002
230	0.1532790722
231	0.1532112055
232	0.15316307
233	0.1530864015
234	0.1529905181
235	0.1529341812
236	0.1528700423
237	0.1527820096
238	0.1526599076
239	0.152627963
240	0.1525765543
241	0.1524411171
242	0.1523691435
243	0.15232801
244	0.1522219275
245	0.1521992333
246	0.1521238563
247	0.1520855922
248	0.1520195922
249	0.1519012387
250	0.1518750054
251	0.1517496859
252	0.1516564869
253	0.1516350793
254	0.151515697
255	0.1514965457
256	0.1514592003
257	0.1513814986
258	0.1512751359
259	0.1511575637
260	0.1511082247
261	0.1510169702
262	0.1508859497
263	0.1507242675
264	0.150638982
265	0.1505854891
266	0.1505418638
267	0.1504668445
268	0.1503604685
269	0.1503382246
270	0.1502564957
271	0.1501861888
272	0.1500647035
273	0.1499597523
274	0.1499008045
275	0.1498696931
276	0.149727212
277	0.1496338265
278	0.1495573301
279	0.1495109233
280	0.1494054816
281	0.1493232796
282	0.149219609
283	0.1491581888
284	0.1490677892
285	0.1490485358
286	0.1490059063
287	0.1489967838
288	0.1489261333
289	0.1487920604
290	0.1487055967
291	0.1486507332
292	0.1486129821
293	0.1485380976
294	0.1484272001
295	0.1483433302
296	0.1482744552
297	0.1482123122
298	0.1481877795
299	0.1480804429
300	0.1480611632
301	0.1480219988
302	0.1479817793
303	0.1478677388
304	0.147779195
305	0.1477100728
306	0.1476253895
307	0.1475912772
