iter	Passed	Remaining
0	48	72791
1	50	37805
2	53	26693
3	54	20537
4	56	16893
5	57	14431
6	59	12684
7	61	11396
8	63	10527
9	65	9791
10	69	9343
11	71	8890
12	73	8375
13	74	7917
14	76	7544
15	77	7225
16	79	6935
17	80	6660
18	82	6406
19	82	6105
20	83	5914
21	85	5736
22	86	5580
23	88	5436
24	89	5295
25	90	5117
26	91	5011
27	93	4904
28	94	4805
29	96	4716
30	97	4633
31	99	4550
32	100	4478
33	102	4416
34	104	4354
35	104	4257
36	106	4197
37	107	4139
38	109	4089
39	110	4037
40	112	3989
41	113	3947
42	115	3908
43	116	3867
44	118	3825
45	120	3793
46	121	3754
47	123	3724
48	124	3695
49	126	3667
50	128	3637
51	129	3612
52	131	3582
53	132	3557
54	134	3533
55	136	3509
56	137	3488
57	139	3467
58	140	3442
59	142	3414
60	143	3392
61	145	3366
62	146	3347
63	148	3325
64	149	3303
65	151	3289
66	152	3267
67	154	3247
68	155	3227
69	157	3210
70	158	3189
71	159	3171
72	160	3134
73	161	3120
74	163	3103
75	164	3088
76	166	3083
77	169	3091
78	172	3094
79	173	3078
80	173	3046
81	175	3033
82	176	3020
83	179	3021
84	181	3020
85	183	3009
86	184	2993
87	185	2982
88	187	2968
89	188	2954
90	190	2943
91	191	2930
92	192	2917
93	194	2905
94	195	2893
95	197	2883
96	198	2872
97	200	2861
98	201	2851
99	202	2840
100	204	2828
101	205	2823
102	207	2816
103	208	2797
104	209	2788
105	211	2780
106	211	2759
107	213	2752
108	215	2743
109	215	2725
110	217	2719
111	218	2713
112	220	2706
113	222	2701
114	223	2695
115	225	2688
116	226	2682
117	228	2675
118	229	2660
119	230	2656
120	232	2651
121	234	2644
122	235	2639
123	237	2634
124	238	2628
125	240	2623
126	242	2617
127	243	2612
128	245	2607
129	246	2602
130	248	2597
131	250	2593
132	252	2590
133	253	2585
134	255	2578
135	256	2574
136	258	2568
137	259	2562
138	261	2557
139	262	2551
140	264	2545
141	265	2538
142	266	2533
143	267	2517
144	269	2514
145	270	2511
146	272	2507
147	273	2502
148	275	2497
149	277	2494
150	278	2491
151	280	2487
152	282	2483
153	283	2479
154	285	2475
155	286	2471
156	288	2466
157	289	2460
158	291	2454
159	292	2451
160	295	2454
161	297	2459
162	299	2459
163	301	2455
164	303	2452
165	304	2448
166	306	2444
167	307	2439
168	309	2435
169	310	2431
170	312	2426
171	313	2422
172	315	2418
173	316	2414
174	318	2411
175	320	2410
176	322	2407
177	323	2402
178	325	2399
179	326	2395
180	328	2392
181	329	2389
182	331	2385
183	332	2380
184	334	2376
185	335	2371
186	337	2367
187	338	2363
188	340	2359
189	341	2356
190	343	2352
191	344	2347
192	346	2343
193	347	2340
194	349	2335
195	350	2332
196	351	2327
197	353	2324
198	354	2320
199	356	2316
200	357	2313
201	359	2309
202	360	2306
203	362	2302
204	364	2299
205	365	2296
206	367	2292
207	368	2287
208	369	2283
209	371	2279
210	372	2275
211	373	2271
212	375	2268
213	376	2265
214	378	2261
215	380	2262
216	384	2272
217	387	2279
218	393	2300
219	396	2307
220	399	2311
221	404	2331
222	406	2327
223	410	2336
224	415	2352
225	421	2373
226	423	2372
227	427	2383
228	435	2418
229	443	2446
230	450	2475
231	459	2510
232	465	2529
233	467	2530
234	473	2551
235	478	2560
236	480	2559
237	482	2560
238	485	2560
239	487	2561
240	489	2559
241	492	2559
242	493	2553
243	495	2552
244	497	2546
245	499	2546
246	501	2543
247	504	2544
248	506	2542
249	509	2545
250	510	2542
251	513	2542
252	517	2549
253	519	2547
254	522	2551
255	529	2574
256	534	2583
257	536	2582
258	538	2578
259	539	2574
260	541	2570
261	543	2567
262	545	2564
263	546	2560
264	549	2558
265	550	2554
266	556	2568
267	557	2564
268	561	2567
269	565	2574
270	565	2565
271	567	2563
272	569	2557
273	571	2556
274	572	2552
275	575	2550
276	577	2549
277	578	2543
278	580	2542
279	585	2549
280	587	2548
281	589	2547
282	591	2542
283	593	2542
284	595	2538
285	599	2544
286	600	2539
287	601	2530
288	604	2531
289	606	2528
290	608	2526
291	609	2521
292	611	2519
293	613	2516
294	615	2513
295	616	2508
296	618	2506
297	621	2505
298	623	2504
299	628	2515
300	630	2513
301	633	2514
302	635	2508
303	637	2507
304	639	2505
305	642	2506
306	648	2521
307	653	2527
308	659	2543
309	663	2547
310	665	2546
311	668	2544
312	673	2553
313	674	2548
314	676	2545
315	682	2558
316	692	2585
317	697	2590
318	702	2601
319	708	2611
320	719	2641
321	723	2646
322	731	2664
323	734	2667
324	736	2661
325	740	2666
326	747	2679
327	750	2682
328	754	2686
329	760	2695
330	761	2689
331	763	2686
332	768	2691
333	769	2687
334	771	2681
335	775	2687
336	779	2688
337	788	2710
338	798	2734
339	800	2730
340	809	2751
341	829	2807
342	836	2821
343	852	2865
344	878	2941
345	885	2954
346	887	2950
347	893	2958
348	895	2954
349	900	2958
350	907	2972
351	912	2975
352	917	2980
353	921	2982
354	923	2977
355	927	2979
356	930	2978
357	932	2973
358	940	2990
359	944	2991
360	951	3001
361	958	3013
362	965	3023
363	970	3030
364	975	3034
365	980	3038
366	988	3050
367	992	3054
368	997	3058
369	1000	3056
370	1005	3058
371	1007	3055
372	1010	3052
373	1021	3074
374	1024	3073
375	1031	3082
376	1033	3078
377	1039	3086
378	1046	3096
379	1051	3099
380	1057	3106
381	1059	3100
382	1061	3095
383	1065	3095
384	1069	3096
385	1073	3098
386	1074	3091
387	1080	3096
388	1086	3102
389	1088	3097
390	1099	3119
391	1106	3127
392	1108	3122
393	1110	3117
394	1112	3110
395	1113	3105
396	1136	3156
397	1141	3159
398	1142	3153
399	1148	3159
400	1153	3160
401	1157	3161
402	1159	3156
403	1161	3150
404	1162	3143
405	1164	3138
406	1171	3144
407	1177	3151
408	1180	3147
409	1181	3141
410	1184	3139
411	1186	3132
412	1190	3134
413	1193	3129
414	1194	3122
415	1198	3123
416	1202	3122
417	1205	3120
418	1211	3124
419	1216	3126
420	1220	3127
421	1224	3129
422	1226	3124
423	1228	3117
424	1230	3113
425	1233	3109
426	1237	3109
427	1241	3109
428	1245	3110
429	1250	3112
430	1256	3117
431	1258	3110
432	1267	3123
433	1273	3128
434	1280	3133
435	1287	3141
436	1292	3144
437	1294	3139
438	1301	3145
439	1306	3146
440	1310	3148
441	1325	3172
442	1327	3166
443	1328	3160
444	1330	3154
445	1336	3159
446	1338	3152
447	1344	3158
448	1346	3152
449	1356	3165
450	1360	3163
451	1361	3157
452	1366	3158
453	1368	3152
454	1372	3151
455	1373	3145
456	1377	3143
457	1379	3139
458	1381	3133
459	1384	3130
460	1386	3125
461	1389	3121
462	1395	3125
463	1398	3122
464	1404	3126
465	1408	3125
466	1411	3123
467	1413	3117
468	1417	3116
469	1423	3120
470	1427	3119
471	1431	3116
472	1434	3114
473	1437	3110
474	1439	3106
475	1441	3100
476	1443	3095
477	1445	3090
478	1451	3093
479	1455	3092
480	1457	3087
481	1460	3084
482	1462	3079
483	1468	3082
484	1471	3079
485	1475	3077
486	1477	3073
487	1480	3071
488	1486	3072
489	1489	3070
490	1497	3078
491	1501	3077
492	1507	3078
493	1511	3078
494	1517	3080
495	1523	3083
496	1532	3093
497	1539	3097
498	1548	3105
499	1551	3103
500	1556	3104
501	1560	3102
502	1562	3096
503	1565	3094
504	1570	3093
505	1575	3094
506	1580	3094
507	1582	3089
508	1584	3085
509	1586	3080
510	1588	3074
511	1590	3069
512	1594	3067
513	1595	3061
514	1598	3057
515	1606	3063
516	1608	3058
517	1612	3057
518	1616	3054
519	1618	3050
520	1621	3046
521	1627	3049
522	1630	3046
523	1633	3042
524	1638	3043
525	1642	3041
526	1646	3040
527	1651	3040
528	1654	3036
529	1659	3036
530	1668	3044
531	1670	3040
532	1678	3045
533	1682	3043
534	1689	3048
535	1693	3046
536	1696	3042
537	1701	3042
538	1704	3038
539	1708	3036
540	1712	3036
541	1715	3032
542	1725	3041
543	1732	3045
544	1735	3040
545	1736	3034
546	1737	3026
547	1739	3021
548	1741	3016
549	1745	3014
550	1756	3024
551	1767	3034
552	1777	3044
553	1796	3068
554	1807	3077
555	1809	3071
556	1818	3078
557	1820	3072
558	1822	3067
559	1838	3085
560	1844	3086
561	1850	3087
562	1855	3087
563	1860	3086
564	1865	3087
565	1869	3085
566	1874	3084
567	1877	3080
568	1882	3079
569	1888	3081
570	1893	3080
571	1896	3077
572	1902	3077
573	1907	3077
574	1911	3074
575	1915	3072
576	1918	3068
577	1921	3064
578	1923	3060
579	1927	3057
580	1930	3053
581	1932	3048
582	1934	3043
583	1943	3047
584	1946	3044
585	1950	3042
586	1953	3038
587	1957	3036
588	1959	3031
589	1962	3026
590	1963	3020
591	1965	3015
592	1967	3009
593	1969	3004
594	1971	2998
595	1973	2993
596	1977	2991
597	1982	2989
598	1985	2987
599	1994	2991
600	1996	2986
601	1997	2980
602	2000	2975
603	2002	2970
604	2004	2965
605	2006	2960
606	2009	2955
607	2012	2952
608	2016	2949
609	2022	2950
610	2026	2948
611	2030	2946
612	2034	2943
613	2038	2941
614	2040	2936
615	2046	2936
616	2051	2936
617	2055	2933
618	2059	2931
619	2063	2928
620	2068	2927
621	2071	2924
622	2075	2921
623	2079	2919
624	2083	2916
625	2088	2915
626	2091	2912
627	2096	2910
628	2105	2915
629	2107	2910
630	2112	2908
631	2117	2908
632	2120	2904
633	2125	2902
634	2128	2898
635	2131	2895
636	2134	2892
637	2139	2890
638	2143	2888
639	2147	2885
640	2150	2882
641	2154	2879
642	2158	2876
643	2162	2874
644	2166	2871
645	2170	2869
646	2174	2866
647	2176	2861
648	2180	2859
649	2184	2856
650	2187	2852
651	2191	2850
652	2193	2845
653	2198	2844
654	2202	2841
655	2206	2839
656	2211	2836
657	2214	2834
658	2217	2830
659	2223	2829
660	2229	2829
661	2231	2824
662	2235	2821
663	2236	2816
664	2239	2811
665	2240	2806
666	2243	2801
667	2244	2795
668	2246	2790
669	2248	2785
670	2250	2780
671	2253	2776
672	2256	2773
673	2259	2768
674	2266	2770
675	2270	2767
676	2280	2771
677	2289	2775
678	2295	2775
679	2298	2771
680	2301	2768
681	2305	2765
682	2314	2768
683	2321	2769
684	2327	2769
685	2330	2765
686	2336	2764
687	2340	2761
688	2343	2758
689	2346	2754
690	2349	2751
691	2353	2747
692	2355	2743
693	2359	2739
694	2363	2737
695	2367	2734
696	2371	2732
697	2376	2730
698	2381	2728
699	2387	2728
700	2391	2726
701	2397	2725
702	2403	2724
703	2410	2725
704	2416	2725
705	2421	2723
706	2426	2721
707	2431	2720
708	2438	2720
709	2444	2719
710	2447	2715
711	2451	2713
712	2458	2713
713	2461	2710
714	2465	2706
715	2467	2702
716	2478	2706
717	2481	2703
718	2490	2705
719	2495	2703
720	2497	2698
721	2499	2693
722	2501	2688
723	2503	2683
724	2505	2678
725	2507	2673
726	2508	2667
727	2510	2662
728	2513	2657
729	2515	2652
730	2517	2647
731	2522	2646
732	2523	2640
733	2530	2640
734	2531	2635
735	2533	2630
736	2535	2625
737	2537	2620
738	2541	2617
739	2544	2612
740	2545	2607
741	2548	2603
742	2549	2597
743	2551	2592
744	2554	2588
745	2555	2583
746	2557	2577
747	2559	2572
748	2561	2567
749	2563	2563
750	2565	2558
751	2566	2553
752	2568	2548
753	2570	2543
754	2572	2538
755	2575	2534
756	2576	2529
757	2582	2527
758	2586	2525
759	2589	2521
760	2592	2517
761	2593	2512
762	2595	2507
763	2597	2502
764	2599	2497
765	2601	2492
766	2602	2487
767	2604	2482
768	2609	2480
769	2611	2475
770	2612	2470
771	2615	2465
772	2617	2461
773	2618	2456
774	2620	2451
775	2622	2446
776	2628	2446
777	2634	2445
778	2643	2446
779	2646	2442
780	2652	2442
781	2659	2441
782	2667	2442
783	2671	2439
784	2673	2435
785	2676	2431
786	2680	2428
787	2684	2425
788	2693	2427
